DisplayName,FirstName,LastName,Licenses,UsageLocation,UserPrincipalName,WhenCreated,Device
Cletus Spuckler,Cletus,Spuckler,,GB,Cletus.Spuckler@company.com,2019-01-15 08:18:33Z,HP ProDesk 400 G3 SFF
Üter Zörker,Üter,Zörker,Office 365 E3,GB,Üter.Zörker@company.com,2019-03-15 16:00:22Z,HP ProBook 450 G3
Brandine Spuckler,Brandine,Spuckler,Office 365 E1,GB,Brandine.Spuckler@company.com,2019-07-24 11:59:21Z,HP ProBook 450 G3
Disco Stu,Disco,Stu,Enterprise Mobility + Security E3+Office 365 E1,GB,Disco.Stu@company.com,2019-07-24 11:59:21Z,Latitude 3570
Fat Tony,Fat,Tony,Office 365 E3,GB,Fat.Tony@company.com,2019-03-15 16:00:21Z,HP 630 Notebook PC
Cookie Kwan,Cookie,Kwan,Enterprise Mobility + Security E3+Office 365 E1,GB,Cookie.Kwan@company.com,2019-07-24 11:59:21Z,HP EliteBook 740 G1
Troy McClure,Troy,McClure,Enterprise Mobility + Security E3+Office 365 E1,GB,Troy.McClure@company.com,2019-07-24 11:59:22Z,HP ProBook 450 G2
Jimbo Jones,Jimbo,Jones,Enterprise Mobility + Security E3+Office 365 E1,GB,Jimbo.Jones@company.com,2019-07-24 11:59:22Z,HP ZBook 17
Jasper Beardsley,Jasper,Beardsley,Enterprise Mobility + Security E3+Office 365 E1,GB,Jasper.Beardsley@company.com,2019-07-24 11:59:21Z,HP ProBook 450 G2
Drederick Tatum,Drederick,Tatum,Enterprise Mobility + Security E3+Office 365 E1,GB,Drederick.Tatum@company.com,2019-07-24 11:59:22Z,HP ProDesk 400 G3 SFF
