Mobile Number,Device,Employee Name,Email
11111111111,HP ProDesk 400 G3 SFF,Cletus Spuckler,Cletus.Spuckler@company.com
22222222222,HP ProBook 450 G3,Üter Zörker,Üter.Zörker@company.com
33333333333,HP ProBook 450 G3,Brandine Spuckler,Brandine.Spuckler@company.com
44444444444,Latitude 3570,Disco Stu,Disco.Stu@company.com
55555555555,HP 630 Notebook PC,Fat Tony,Fat.Tony@company.com
66666666666,HP EliteBook 740 G1,Cookie Kwan,Cookie.Kwan@company.com
77777777777,HP ProBook 450 G2,Troy McClure,Troy.McClure@company.com
88888888888,HP ZBook 17,Jimbo Jones,Jimbo.Jones@company.com
99999999999,HP ProBook 450 G2,Jasper Beardsley,Jasper.Beardsley@company.com
99999999999,HP ProDesk 400 G3 SFF,Drederick Tatum,Drederick.Tatum@company.com
